driver_id,name,phone,city_id,join_date,license_number,vehicle_id,linked_user_id,rating,total_rides_completed,is_active,background_check_status,weekly_hours_online,acceptance_rate,cancellation_rate
DRV00001,Matthew Rana,5908301661,BLR,2024-11-04,KL3186091390,VEH00001,,4.08,493,1,Verified,45.0,77.8,7.5
DRV00002,Chandran Kant,6281948219,DEL,2026-02-08,FR9351819093,VEH00002,,4.64,1174,1,Verified,42.6,96.4,3.2
DRV00003,Dipta Shroff,2319487574,JAI,2025-03-05,CQ9118625276,VEH00003,,4.62,539,0,Pending,46.9,76.7,8.2
DRV00004,Dipta Oak,7114710497,LKO,2021-02-09,DN4650752917,VEH00004,,4.46,1593,1,Rejected,23.5,84.2,5.6
DRV00005,Varenya Dayal,7835674300,CHN,2025-02-11,JR4236671276,VEH00005,USR000546,4.82,604,0,Verified,38.8,92.3,4.7
DRV00006,Qushi Mallick,2122330792,BLR,2021-07-28,IS4402685995,VEH00006,,4.61,194,1,Verified,65.1,80.7,6.9
DRV00007,Tanmayi Ramanathan,7603137215,MUM,2021-01-31,BE9010928159,VEH00007,,4.74,274,1,Verified,42.3,75.2,11.1
DRV00008,Krisha Dixit,7117777412,AMD,2025-07-01,JS1547280385,VEH00008,,3.68,184,1,Verified,6.8,70.0,1.4
DRV00009,Chanchal Chand,5388853933,MUM,2023-10-13,QM6338750047,VEH00009,,5.0,987,1,Verified,48.6,97.7,10.2
DRV00010,Sanya Palla,3735379907,MUM,2021-09-27,ZU5116372651,VEH00010,,4.28,614,1,Verified,63.4,73.8,4.6
DRV00011,Ubika Ratti,0297299752,KOL,2020-11-08,NB8820018263,VEH00011,,4.36,626,1,Verified,70.5,74.0,5.2
DRV00012,Simon Master,8620579868,PUNE,2024-03-25,XZ2828807290,VEH00012,,3.98,288,1,Verified,25.2,92.5,11.9
DRV00013,Orinder Dhaliwal,0588871803,MUM,2023-06-11,UN3401878017,VEH00013,,5.0,115,1,Verified,41.8,95.7,10.1
DRV00014,Aradhana Sethi,4837261675,LKO,2025-05-31,QI1361341252,VEH00014,,3.69,590,1,Verified,33.9,89.1,1.0
DRV00015,Harshil Chandra,7903666636,PUNE,2022-04-20,ZV7316723268,VEH00015,USR001892,4.28,869,1,Verified,64.5,87.4,10.9
DRV00016,Rohan Parikh,5877065894,HYD,2024-11-16,RW8113114402,VEH00016,,4.67,916,1,Verified,28.4,71.6,8.1
DRV00017,Pahal Kuruvilla,9751402614,JAI,2023-07-14,AV0141931417,VEH00017,,4.26,89,1,Pending,37.9,89.1,2.0
DRV00018,Amrita Dayal,2402344834,KOL,2024-06-09,UG7824504000,VEH00018,,3.82,839,1,Verified,52.2,71.0,8.0
DRV00019,Yoshita Soman,7868433532,BLR,2023-01-07,FQ6502014620,VEH00019,,5.0,834,1,,38.1,94.5,2.5
DRV00020,Yashawini Manda,2247045585,BLR,2023-05-13,ER3043520561,VEH00020,,4.63,1197,1,Verified,58.0,71.3,0.1
DRV00021,Yuvraj Thaman,2690604431,PUNE,2021-10-28,PJ9829657249,VEH00021,,4.41,446,1,Verified,38.6,90.2,6.4
DRV00022,Yochana Sanghvi,0931002516,DEL,2025-07-15,ZE7800837407,VEH00022,,4.06,519,1,Pending,68.0,95.1,9.1
DRV00023,Dominic Som,3377617409,KOL,2024-11-17,AE3192544992,VEH00023,,4.15,575,1,Verified,39.6,96.4,0.5
DRV00024,Vedika Luthra,8477718341,MUM,2022-10-04,NE7047187463,VEH00024,,4.48,475,1,Verified,26.2,85.1,8.0
DRV00025,Lucky Viswanathan,8415377602,LKO,2022-02-10,HV0776426565,VEH00025,,4.12,543,1,Verified,52.4,75.6,5.3
DRV00026,Ekta Nigam,4451669156,HYD,2024-08-20,GU4041042346,VEH00026,,4.19,276,0,Verified,25.6,83.1,4.1
DRV00027,Kashvi Sangha,3106792470,MUM,2021-09-16,ZP8227654444,VEH00027,,4.32,440,1,Verified,55.5,88.9,8.9
DRV00028,Charvi Subramanian,1387837576,MUM,2022-01-12,PX2833125815,VEH00028,,4.7,211,0,Verified,59.3,74.3,14.6
DRV00029,Saksham Bahri,3645074952,BLR,2026-03-16,TB8831436676,VEH00029,,5.0,1342,0,Verified,22.5,71.1,14.8
DRV00030,Bachittar Sandal,1687731322,JAI,2020-09-19,CP8171800239,VEH00030,,4.84,880,1,Verified,36.2,77.1,8.9
DRV00031,Kabir Krishnamurthy,4893643900,CHN,2026-03-25,PB8474537838,VEH00031,,4.36,349,1,Verified,59.3,82.9,1.6
DRV00032,Damyanti Bhakta,1436537056,JAI,2024-02-11,TX5630481373,VEH00032,,4.62,1141,1,Verified,56.4,74.2,12.4
DRV00033,Vihaan Shroff,9792376092,HYD,2023-02-06,ZC6030926002,VEH00033,,4.45,423,1,Verified,17.2,88.2,3.9
DRV00034,Isaiah Buch,8704655721,PUNE,2020-09-27,WX0141561836,VEH00034,,4.86,566,1,Verified,24.6,91.9,8.1
DRV00035,Rachana Chahal,8735570636,LKO,2024-04-11,VX0607104319,VEH00035,,3.64,1192,1,Rejected,54.5,71.0,11.3
DRV00036,Gautami Bassi,0910317764,PUNE,2021-04-26,UU6727204293,VEH00036,,4.46,1128,1,Verified,33.4,80.5,13.1
DRV00037,Janaki Brar,6107885261,LKO,2020-06-08,OI1491316772,VEH00037,,4.52,1409,1,Verified,57.2,79.5,0.9
DRV00038,Triveni Keer,9454437323,MUM,2024-10-09,GH3249351643,VEH00038,,4.27,301,1,Verified,38.0,97.9,8.0
DRV00039,Harish Shetty,3750431039,PUNE,2021-05-22,GO9315827940,VEH00039,,4.32,822,1,Verified,53.9,91.2,7.9
DRV00040,Teerth Barad,3409305652,MUM,2022-03-13,GY9413078716,VEH00040,,4.31,581,1,Verified,45.3,73.4,3.2
DRV00041,Mohammed Walla,6446049566,BLR,2025-09-25,HF0536630626,VEH00041,,4.38,363,1,Verified,55.8,70.2,15.0
DRV00042,Janya Sharma,8261995822,DEL,2021-07-26,TI5428211673,VEH00042,,4.19,616,1,Verified,22.6,94.2,13.0
DRV00043,Vasudha Murty,9239693729,HYD,2020-09-23,UM3068265123,VEH00043,,4.19,1565,1,Verified,49.3,78.7,7.3
DRV00044,Balvan Naik,8464936657,CHN,2026-07-09,WN8720097737,VEH00044,,4.41,1334,1,Pending,27.9,92.5,2.9
DRV00045,Praneel Solanki,5651788002,AMD,2026-03-18,NU1581086201,VEH00045,,4.33,1479,1,Verified,41.6,97.1,4.7
DRV00046,Rishi Deep,1594259472,JAI,2026-02-21,XC4873949835,VEH00046,,4.79,691,0,Verified,30.9,79.9,14.3
DRV00047,Sachi Khurana,9523710068,BLR,2022-01-01,XH3262456241,VEH00047,USR000614,4.9,887,1,Verified,57.2,73.2,12.6
DRV00048,Jagvi Sethi,5465925517,JAI,2026-05-14,UA3290484495,VEH00048,,4.55,174,1,Verified,45.2,93.0,11.0
DRV00049,Timothy Dixit,8502739000,HYD,2022-07-24,LT0954185836,VEH00049,,4.2,488,1,Verified,54.6,93.4,7.5
DRV00050,Samarth Peri,3271124640,MUM,2025-05-21,KA0859979873,VEH00050,,4.11,892,1,Verified,32.3,74.3,8.1
DRV00051,David Wali,2010983263,CHN,2025-06-27,OD8986928414,VEH00051,,4.16,396,1,Verified,13.2,78.0,0.1
DRV00052,Abeer Prashad,2314301540,JAI,2023-04-30,KQ4868443180,VEH00052,,4.31,173,1,Verified,65.8,78.2,7.1
DRV00053,Samaksh Dutta,9368778006,KOL,2021-10-12,JC3943699192,VEH00053,,4.91,1365,1,Verified,30.7,94.4,5.4
DRV00054,Isaac Chhabra,0020101953,HYD,2023-10-24,ZW8161333100,VEH00054,,4.4,1733,1,Verified,29.9,96.9,8.1
DRV00055,Bhavna Sood,4556405440,PUNE,2022-01-07,BH5598749060,VEH00055,,4.77,1134,1,Verified,42.8,93.4,7.3
DRV00056,Idika Singh,1942608340,MUM,2024-11-18,QK0571727958,VEH00056,,3.8,275,1,Verified,39.1,80.1,8.5
DRV00057,Bhanumati Kala,1781551661,KOL,2026-03-13,YO6053446882,VEH00057,,4.05,895,1,Verified,35.8,84.1,8.4
DRV00058,Triveni Date,8278527749,PUNE,2020-08-19,JU3257383449,VEH00058,,4.52,401,1,Verified,41.7,79.3,6.9
DRV00059,Yug Narain,3412136224,JAI,2023-09-24,CA4643114367,VEH00059,,3.74,843,1,Rejected,62.6,80.9,13.6
DRV00060,Rajeshri Kapadia,4960369963,MUM,2021-05-11,PY9321765416,VEH00060,,4.49,565,1,,26.2,86.3,3.4
