user_id,name,email,phone,signup_date,city_id,device_type,preferred_payment_mode,wallet_balance,referral_code,referred_by_user_id,rating,is_active,total_rides,last_ride_date
USR000001,Gagan Sami,gagansami@infosys.com,3890838637,2024-08-02,MUM,Android,Debit Card,191.49,REF1043OI,,4.23,1,6,2025-04-09
USR000002,Arunima Dugal,arunimadugal54@infosys.com,6155940781,2021-03-03,MUM,Android,Credit Card,90.49,REF9402SB,USR000001,4.57,1,6,2024-04-25
USR000003,Rehaan Boase,rehaan_boase14@gmail.com,3164752553,2025-11-16,DEL,Android,Wallet,59.82,REF6184ON,USR000002,3.59,1,6,2026-01-26
USR000004,Nihal Shere,nihal_shere11@wipro.com,5030564139,2022-12-06,LKO,iOS,UPI,80.42,REF4192IU,USR000003,4.15,1,5,2025-07-03
USR000005,Alka Dewan,alka.dewan13@icloud.com,9696532871,2025-10-31,PUNE,Android,UPI,40.71,REF5376PD,USR000001,4.85,1,10,2026-02-24
USR000006,Devansh Rajan,devanshrajan32@rediffmail.com,4801845146,2023-01-18,BLR,iOS,Debit Card,53.91,REF0122YR,USR000003,3.51,1,8,2023-06-13
USR000007,Yashica Cherian,yashica_cherian@yahoo.com,2528809570,2026-03-11,JAI,Android,Debit Card,202.94,REF2704GW,,4.74,1,7,2026-03-25
USR000008,Frederick Sunder,frederick.sunder1997@outlook.com,7824896383,2024-03-07,PUNE,Android,Wallet,48.6,REF1543DP,,3.7,1,11,2025-12-25
USR000009,Yug Kar,yug.kar@wipro.com,8393010310,2023-05-28,LKO,iOS,Debit Card,33.93,REF4657HC,USR000003,4.82,1,7,2026-04-05
USR000010,Tanish Zacharia,tanish.zacharia@wipro.com,3763116566,2021-05-11,KOL,iOS,Cash,251.98,REF5183RQ,,4.46,1,8,2024-04-28
USR000011,Ikbal Kothari,ikbalkothari@tcs.com,2624731781,2025-03-18,CHN,iOS,UPI,166.31,REF7010ZU,USR000003,4.43,0,7,2025-11-05
USR000012,Niharika Sunder,niharikasunder1@icloud.com,,2025-11-18,CHN,Android,Credit Card,57.73,REF0801WP,,5.0,1,6,2025-12-29
USR000013,Madhavi Lanka,madhavi.lanka@gmail.com,7234309805,2026-03-18,PUNE,iOS,Credit Card,76.18,REF7360KY,USR000010,4.3,0,9,2026-07-17
USR000014,Dakshesh Trivedi,daksheshtrivedi2003@yahoo.com,1361939909,2026-04-24,JAI,Android,Debit Card,337.02,REF0097GH,,3.6,1,5,2026-07-10
USR000015,Samarth Murthy,samarthmurthy1987@yahoo.com,,2023-03-29,PUNE,iOS,Cash,398.67,REF1699HU,,4.74,1,8,2024-08-17
USR000016,Tanvi Mutti,tanvimutti1986@gmail.com,9118384251,2024-12-20,DEL,Android,UPI,99.78,REF3462QP,,4.58,0,9,2025-11-23
USR000017,Abhiram Mistry,abhirammistry56@rediffmail.com,1824493534,2025-12-13,LKO,iOS,Credit Card,194.83,REF3542CI,,4.45,1,6,2026-07-07
USR000018,Aradhana Basu,aradhana.basu25@gmail.com,2786801128,2025-02-02,DEL,Android,UPI,165.95,REF8740FO,,3.94,1,9,2026-01-15
USR000019,Benjamin Morar,benjaminmorar@gmail.com,3158692322,2022-07-25,AMD,Android,UPI,182.15,REF0598JB,,4.77,0,9,2025-08-25
USR000020,Amara Dutta,amara_dutta1993@hdfcbank.com,3375433036,2023-09-13,HYD,iOS,UPI,107.82,REF6025YA,USR000001,5.0,1,8,2025-11-20
USR000021,Garima Bala,garima_bala1981@icloud.com,4019655698,2024-02-13,AMD,Android,Credit Card,188.42,REF5414WP,USR000002,4.26,1,10,2025-09-28
USR000022,Aarav Venkatesh,aarav.venkatesh87@gmail.com,5951484656,2025-10-13,JAI,Android,UPI,139.44,REF1693QC,,3.73,1,17,2025-11-23
USR000023,Owen Mitra,owen_mitra2001@hotmail.com,4369957773,2024-03-12,HYD,Android,Cash,151.11,REF4823AQ,USR000022,3.87,1,5,2025-10-30
USR000024,Girik Keer,girikkeer1982@yahoo.com,0037917693,2023-03-22,BLR,iOS,Wallet,90.29,REF8721SG,,4.84,0,5,2023-08-17
USR000025,Hredhaan Sandal,hredhaan_sandal2005@tcs.com,,2021-09-29,PUNE,Android,Credit Card,563.57,REF6763JP,,5.0,1,8,2022-08-18
USR000026,Jairaj Shan,jairajshan71@outlook.com,9579868727,2025-08-01,JAI,iOS,UPI,68.45,REF3287DJ,,5.0,1,10,2025-10-08
USR000027,William Maharaj,william.maharaj82@gmail.com,,2025-01-09,PUNE,Android,Debit Card,71.21,REF7434XX,,3.66,1,2,2025-09-23
USR000028,Faris Devi,faris.devi@tcs.com,3166587603,2025-04-29,BLR,iOS,Credit Card,110.29,REF7143RV,,5.0,1,7,2026-02-05
USR000029,Vansha Ahuja,vansha.ahuja1986@yahoo.com,8893734670,2023-01-27,LKO,Android,Wallet,344.45,REF6690WK,USR000010,3.58,1,5,2025-02-11
USR000030,Meera Bala,meera.bala@hdfcbank.com,2046537556,2022-12-26,JAI,iOS,Cash,211.96,REF6562DI,,4.36,1,9,2024-04-23
USR000031,Inaya Kapur,inaya_kapur29@hotmail.com,3092327193,2025-05-22,KOL,Android,Debit Card,164.51,REF4641EB,USR000023,3.99,1,5,2025-07-16
USR000032,Nihal Mukhopadhyay,nihal_mukhopadhyay2000@rediffmail.com,9663193149,2025-06-17,HYD,Android,UPI,257.81,REF7452MM,,5.0,1,13,2026-01-07
USR000033,Ekapad Toor,ekapad.toor14@hotmail.com,1657262849,2025-09-24,JAI,iOS,UPI,238.04,REF1905IB,USR000017,4.71,1,8,2025-12-24
USR000034,Ekantika Korpal,ekantika.korpal2005@wipro.com,7996507527,2022-10-05,KOL,Android,Wallet,169.69,REF8776UL,,4.23,1,10,2023-10-29
USR000035,Advaith Varughese,advaithvarughese39@wipro.com,7837770143,2025-02-28,HYD,iOS,Wallet,141.32,REF3545RM,USR000022,3.96,1,6,2026-01-13
USR000036,Pavani Narayanan,pavaninarayanan73@tcs.com,4313518233,2023-04-05,CHN,Android,Credit Card,160.27,REF6349XE,,4.05,1,10,2025-05-20
USR000037,Rishi Minhas,rishi_minhas1986@icloud.com,0824008427,2022-09-15,CHN,Android,Wallet,72.05,REF7498MS,,4.19,1,5,2026-02-08
USR000038,Harini Gour,harini.gour@yahoo.com,1671902294,2026-05-20,BLR,Android,Debit Card,74.55,REF1094EE,,4.28,1,10,2026-06-29
USR000039,Lajita Seshadri,lajitaseshadri2002@rediffmail.com,4990913341,2021-04-05,HYD,iOS,Cash,140.66,REF1318WA,,4.79,1,10,2021-09-01
USR000040,Nilima Seshadri,nilimaseshadri1981@yahoo.com,4471349361,2022-05-15,BLR,Android,UPI,122.2,REF2328EK,,4.79,1,8,2023-08-06
USR000041,Noah Mohanty,noah_mohanty2003@rediffmail.com,4648877190,2021-09-06,AMD,Android,Wallet,17.29,REF8324JE,,4.48,1,11,2024-10-24
USR000042,Ansh Luthra,anshluthra@outlook.com,7429671756,2024-01-28,AMD,Android,Wallet,296.01,REF6594BF,,4.07,1,9,2026-03-07
USR000043,Bhavya Rattan,bhavya_rattan1984@yahoo.com,4516808760,2025-01-01,CHN,Android,Debit Card,161.96,REF5512VA,,4.45,0,12,2026-07-08
USR000044,Charan Jani,charanjani2004@rediffmail.com,7710932480,2023-04-15,PUNE,iOS,Wallet,64.8,REF3859WF,USR000027,4.15,1,9,2025-06-20
USR000045,Mitesh Tara,miteshtara@outlook.com,7737826398,2026-04-15,PUNE,iOS,Wallet,211.71,REF8613HD,,4.98,1,3,2026-06-07
USR000046,Aarnav Mandal,aarnavmandal69@infosys.com,2787558867,2021-03-01,KOL,iOS,Wallet,22.56,REF2146VY,,5.0,1,12,2025-11-16
USR000047,Caleb Nadkarni,caleb.nadkarni59@rediffmail.com,7028951718,2021-02-25,MUM,iOS,Credit Card,132.69,REF5339YO,,4.5,0,4,2022-03-04
USR000048,Upasna Lanka,upasna.lanka1982@gmail.com,5865780913,2026-05-03,KOL,iOS,UPI,48.87,REF7026PJ,,4.54,0,6,2026-07-11
USR000049,Sachi Ganesan,sachiganesan1994@outlook.com,0455623869,2026-04-29,HYD,Android,UPI,65.6,REF4316GW,,4.02,1,6,2026-05-29
USR000050,Widisha Dhar,widishadhar87@hdfcbank.com,4074821759,2021-12-10,LKO,Android,Credit Card,193.85,REF2221NY,,4.9,1,7,2022-07-19
USR000051,Vasudha Chhabra,vasudhachhabra1991@rediffmail.com,9440640909,2024-04-27,HYD,Android,Debit Card,106.9,REF4647TM,,3.15,1,8,2026-01-01
USR000052,Ranveer Krishna,ranveer_krishna1994@gmail.com,7095214562,2021-05-22,JAI,iOS,UPI,120.55,REF7439ZW,,3.82,1,4,2025-12-31
USR000053,Nitesh Kurian,niteshkurian@gmail.com,7123685160,2025-02-11,JAI,iOS,Cash,77.08,REF3285HG,,3.76,1,10,2026-06-21
USR000054,Lakshmi Prabhu,lakshmi_prabhu@hotmail.com,9859317461,2023-07-13,HYD,iOS,Cash,61.8,REF4817XR,,3.61,1,7,2025-08-27
USR000055,Wahab Yogi,wahabyogi1987@icloud.com,8692617964,2022-11-29,CHN,iOS,Cash,97.65,REF2004FH,USR000013,4.09,1,6,2023-05-23
USR000056,Hardik Pillai,hardik_pillai1997@hotmail.com,3171390053,2023-10-03,AMD,Android,UPI,177.84,REF0537CP,USR000026,4.26,1,9,2025-09-10
USR000057,Tarak Kaul,tarakkaul@hdfcbank.com,4228421020,2025-03-08,JAI,iOS,Debit Card,69.02,REF2931WJ,,3.4,1,6,2025-07-24
USR000058,Charles Date,charlesdate@yahoo.com,7758917839,2025-04-10,BLR,Android,Credit Card,76.71,REF5395BL,,4.32,1,7,2025-08-29
USR000059,Varenya Ratti,varenyaratti@wipro.com,1159212499,2023-01-10,BLR,iOS,UPI,71.71,REF0847PB,,5.0,1,8,2023-09-26
USR000060,Yashasvi Sani,yashasvi_sani@rediffmail.com,6736576615,2023-10-03,MUM,Android,Cash,190.36,REF8569HS,USR000031,5.0,1,6,2024-12-27
USR000061,Ekalinga Chand,ekalingachand1993@infosys.com,5280988516,2024-03-27,DEL,Android,Credit Card,174.17,REF6545JR,,4.42,0,10,2025-02-01
USR000062,Hemang Tripathi,hemang_tripathi@infosys.com,1585149368,2022-04-08,JAI,iOS,Wallet,229.85,REF5604MT,,4.72,1,10,2023-12-07
USR000063,Ayush Gole,ayush.gole1@hdfcbank.com,0229612018,2021-07-23,HYD,Android,Debit Card,63.02,REF9980MQ,,4.68,1,10,2022-06-09
USR000064,Devika Nair,devika_nair1998@yahoo.com,9014767976,2022-08-20,DEL,Android,Debit Card,58.97,REF3667VK,,4.39,0,11,2025-03-06
USR000065,Bhanumati Sur,bhanumatisur96@icloud.com,9003432445,2024-01-21,HYD,Android,Debit Card,635.12,REF4381WB,,3.63,0,8,2024-04-03
USR000066,Victor Tella,victor_tella1990@outlook.com,6071596966,2024-11-11,CHN,iOS,Debit Card,438.56,REF1076LI,,4.84,1,12,2026-03-31
USR000067,Janaki Chakrabarti,janaki_chakrabarti1985@rediffmail.com,9681645352,2022-04-14,LKO,Android,Debit Card,81.75,REF4160UK,,4.18,1,9,2026-07-10
USR000068,Indali Divan,indali_divan53@outlook.com,3292127799,2023-10-05,MUM,iOS,Debit Card,107.1,REF1818GM,,3.9,1,7,2024-08-28
